symbol1,symbol2
SF3B4,ITSN1
SMARCC2,ITSN1
EEF1A1,ITSN1
PLK1,ITSN1
SNAP25,ITSN1
ITCH,ITSN1
LMO4,ITSN1
DNM1,ITSN1
UNC119,ITSN1
KIF5A,ITSN1
MRPL20,ITSN1
WBP11,ITSN1
SNX5,ITSN1
AP2B1,ITSN1
MAPK8IP2,ITSN1
DISC1,ITSN1
DBH,ITSN1
STON2,ITSN1
CCNO,ITSN1
ARHGAP31,ITSN1
PIK3AP1,ITSN1
PAK3,ITSN1
TNRC6C,ITSN1
FCHO2,ITSN1
VLDLR,ITSN1
SCAMP1,ITSN1
FCHO1,ITSN1
SMAP2,ITSN1
SGIP1,ITSN1
AMPH,REPS1
ITSN1,REPS1
NUMB,REPS1
PIN1,REPS1
ITSN2,REPS1
ATF4,REPS1
RALBP1,REPS1
TRAPPC2,REPS1
WWC2,REPS1
REPS1,REPS1
MZT1,REPS1
ANKRD1,REPS1
SGIP1,REPS1
AMPH,SGIP1
EPS15,SGIP1
APP,SGIP1
PHB,SGIP1
AMPH,REPS2
EPS15,REPS2
AR,REPS2
CDK1,REPS2
AP2A1,REPS2
ASAP2,REPS2
MYO6,REPS2
RALBP1,REPS2
PXN,REPS2
ASAP1,REPS2
REPS1,REPS2
AMPH,AP1G1
EPS15,AP1G1
PSEN2,AP1G1
AP2M1,AP1G1
EGFR,AP1G1
ATXN1,AP1G1
AP1G1,AP1G1
ZNF512B,AP1G1
KIF13A,AP1G1
ARF6,AP1G1
NECAP2,AP1G1
BAALC,AP1G1
AP1M2,AP1G1
RAB14,AP1G1
AP1S1,AP1G1
PACS1,AP1G1
CLINT1,AP1G1
AFTPH,AP1G1
AP1B1,AP1G1
SMAP2,AP1G1
AAGAB,AP1G1
SYP,AP1G1
NECAP1,AP1G1
ARFRP1,AP1G1
AMPH,MAPT
ABL1,MAPT
P4HB,MAPT
PSEN1,MAPT
CASP7,MAPT
CASP3,MAPT
CREBBP,MAPT
TRAF6,MAPT
CSNK2A1,MAPT
CASP8,MAPT
CASP1,MAPT
APP,MAPT
SYK,MAPT
LCK,MAPT
PRKCI,MAPT
DCTN1,MAPT
HDAC6,MAPT
HSPB1,MAPT
CSNK1A1,MAPT
PIN1,MAPT
PRKACA,MAPT
CDC37,MAPT
FKBP1A,MAPT
PKN1,MAPT
CAPN2,MAPT
ACTA1,MAPT
CDK2,MAPT
MAPK8IP1,MAPT
MARK4,MAPT
AATF,MAPT
UBE2D2,MAPT
UBE2D3,MAPT
HSPA8,MAPT
HSP90AB1,MAPT
FKBP5,MAPT
UBB,MAPT
PPP1CC,MAPT
PPP1CB,MAPT
PPP1CA,MAPT
STAU1,MAPT
PCNA,MAPT
GSK3B,MAPT
RANBP9,MAPT
PRKCZ,MAPT
EP300,MAPT
SQSTM1,MAPT
DYRK1A,MAPT
MAPK1,MAPT
PLCG1,MAPT
MAPK3,MAPT
SGK1,MAPT
OGT,MAPT
COPS5,MAPT
MAPK14,MAPT
MAPK12,MAPT
PLCG2,MAPT
PEG10,MAPT
SNRNP70,MAPT
MAPK13,MAPT
OTUB1,MAPT
PPP2CB,MAPT
PRKCD,MAPT
PPP2R5A,MAPT
TUBB2A,MAPT
UBE2W,MAPT
PPP2CA,MAPT
ARHGEF40,MAPT
MAP2K7,MAPT
MSI1,MAPT
PTK2B,MAPT
S100B,MAPT
PRKCA,MAPT
MAPT,MAPT
PAX6,MAPT
PRNP,MAPT
PRKCG,MAPT
CHEK1,MAPT
F2,MAPT
CHEK2,MAPT
PRKCE,MAPT
DUSP1,MAPT
ANXA2,MAPT
PASK,MAPT
RPS6KA3,MAPT
CSNK1D,MAPT
NPEPPS,MAPT
MARK1,MAPT
LIMS1,MAPT
MAPK8,MAPT
SPTB,MAPT
PRKCB,MAPT
CTSD,MAPT
SIK1,MAPT
MAPK11,MAPT
GSK3A,MAPT
CAMK2A,MAPT
PDIA2,MAPT
CASP6,MAPT
PTPA,MAPT
PPP5C,MAPT
